# PREM (Dziewonski and Anderson, 1981) and QL6 (Durek and Ekstrom, 1996)  (without an ocean)
#Depth(m)	Radius(m)	Pressure(Pa)	Density(g/m^3)	Vp(m/s)		Vs(m/s)  	Qk  	   	Qmu
0.000000e+00	6.371000e+06	0.000000e+00	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
3.000000e+03	6.368000e+06	2.990000e+07	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
3.000000e+03	6.368000e+06	3.030000e+07	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
1.500000e+04	6.356000e+06	3.364000e+08	2.600000e+03	5.800000e+03	3.200000e+03	1.000000e+05	3.000000e+02
1.500000e+04	6.356000e+06	3.370000e+08	2.900000e+03	6.800000e+03	3.900000e+03	1.000000e+05	3.000000e+02
2.440000e+04	6.346600e+06	6.040000e+08	2.900000e+03	6.800000e+03	3.900000e+03	1.000000e+05	1.910000e+02
2.440000e+04	6.346600e+06	6.043000e+08	3.380760e+03	8.110610e+03	4.490940e+03	1.000000e+05	1.910000e+02
4.000000e+04	6.331000e+06	1.123900e+09	3.379060e+03	8.101190e+03	4.484860e+03	1.000000e+05	1.910000e+02
6.000000e+04	6.311000e+06	1.789100e+09	3.376880e+03	8.089070e+03	4.477150e+03	1.000000e+05	1.910000e+02
8.000000e+04	6.291000e+06	2.453900e+09	3.374710e+03	8.076890e+03	4.469540e+03	1.000000e+05	1.910000e+02
8.000000e+04	6.291000e+06	2.454600e+09	3.374710e+03	8.076880e+03	4.469530e+03	1.000000e+05	1.910000e+02
1.150000e+05	6.256000e+06	3.615000e+09	3.370910e+03	8.055400e+03	4.456430e+03	1.000000e+05	7.000000e+01
1.500000e+05	6.221000e+06	4.780000e+09	3.367100e+03	8.033700e+03	4.443610e+03	1.000000e+05	7.000000e+01
1.850000e+05	6.186000e+06	5.945000e+09	3.363300e+03	8.011800e+03	4.431080e+03	1.000000e+05	7.000000e+01
2.200000e+05	6.151000e+06	7.110000e+09	3.359500e+03	7.989700e+03	4.418850e+03	1.000000e+05	1.650000e+02
2.200000e+05	6.151000e+06	7.110000e+09	3.435780e+03	8.558960e+03	4.643910e+03	1.000000e+05	1.650000e+02
2.650000e+05	6.106000e+06	8.655000e+09	3.462640e+03	8.645520e+03	4.675400e+03	1.000000e+05	1.650000e+02
3.100000e+05	6.061000e+06	1.020000e+10	3.489510e+03	8.732090e+03	4.706900e+03	1.000000e+05	1.650000e+02
3.550000e+05	6.016000e+06	1.177500e+10	3.516390e+03	8.818670e+03	4.738400e+03	1.000000e+05	1.650000e+02
4.000000e+05	5.971000e+06	1.335000e+10	3.543250e+03	8.905220e+03	4.769890e+03	1.000000e+05	1.650000e+02
4.000000e+05	5.971000e+06	1.335000e+10	3.723780e+03	9.133970e+03	4.932590e+03	1.000000e+05	1.650000e+02
4.500000e+05	5.921000e+06	1.524000e+10	3.786780e+03	9.389900e+03	5.078420e+03	1.000000e+05	1.650000e+02
5.000000e+05	5.871000e+06	1.713000e+10	3.849800e+03	9.645880e+03	5.224280e+03	1.000000e+05	1.650000e+02
5.500000e+05	5.821000e+06	1.908500e+10	3.912820e+03	9.901850e+03	5.370140e+03	1.000000e+05	1.650000e+02
6.000000e+05	5.771000e+06	2.104000e+10	3.975840e+03	1.015782e+04	5.516000e+03	1.000000e+05	1.650000e+02
6.000000e+05	5.771000e+06	2.104000e+10	3.975840e+03	1.015782e+04	5.516020e+03	1.000000e+05	1.650000e+02
6.350000e+05	5.736000e+06	2.243000e+10	3.983990e+03	1.021203e+04	5.543110e+03	1.000000e+05	1.650000e+02
6.700000e+05	5.701000e+06	2.383340e+10	3.992140e+03	1.026622e+04	5.570200e+03	1.000000e+05	1.650000e+02
6.700000e+05	5.701000e+06	2.383420e+10	4.380710e+03	1.075131e+04	5.945080e+03	1.000000e+05	1.650000e+02
7.210000e+05	5.650000e+06	2.607830e+10	4.412410e+03	1.091005e+04	6.094180e+03	1.000000e+05	3.550000e+02
7.710000e+05	5.600000e+06	2.829270e+10	4.443160e+03	1.106556e+04	6.240460e+03	1.000000e+05	3.550000e+02
7.710000e+05	5.600000e+06	2.829280e+10	4.443170e+03	1.106557e+04	6.240460e+03	1.000000e+05	3.550000e+02
8.710000e+05	5.500000e+06	3.276230e+10	4.503720e+03	1.124490e+04	6.310910e+03	1.000000e+05	3.550000e+02
9.710000e+05	5.400000e+06	3.728520e+10	4.563070e+03	1.141560e+04	6.378130e+03	1.000000e+05	3.550000e+02
1.071000e+06	5.300000e+06	4.186060e+10	4.621290e+03	1.157628e+04	6.442320e+03	1.000000e+05	3.550000e+02
1.171000e+06	5.200000e+06	4.648820e+10	4.678440e+03	1.173357e+04	6.503700e+03	1.000000e+05	3.550000e+02
1.271000e+06	5.100000e+06	5.116760e+10	4.734600e+03	1.188209e+04	6.562500e+03	1.000000e+05	3.550000e+02
1.371000e+06	5.000000e+06	5.589910e+10	4.789830e+03	1.202445e+04	6.618910e+03	1.000000e+05	3.550000e+02
1.471000e+06	4.900000e+06	6.068300e+10	4.844220e+03	1.216126e+04	6.673170e+03	1.000000e+05	3.550000e+02
